id,conversation_id,text,date,Segment,WC,Clout,Authentic,Tone,WPS,BigWords,Drives,affiliation,achieve,power,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,health,illness,wellness,mental,death
1322317480673615874,1322232403209949184,@piersmorgan What the World needs right now. Is Sanity to prevail. This is not a test Like those fire-alarms that go off &amp; 5min later they say: oh sorry it went off by accident. This is not the case. Covid is there &amp; it's killing people. People must obey the rules. Wear masks &amp; Keep safe.,2020-10-30T23:20:29.000Z,1,56,30.13,48.09,47.3,8,8.93,7.14,0,0,7.14,5.36,3.57,1.79,0,0,0,0,0,0,0,3.57,1.79,0,1.79,1.79
1322317199307116546,1322232403209949184,"@idonotconsent20 @and_laurence @KarenWitts2 @aname_1011 @piersmorgan Im not denying this is shitty for a lot of people - no one wants this . But its the right thing to do. This wont stop it but it will slow it down, reduce deaths and transmission rate .",2020-10-30T23:19:22.000Z,1,44,1,34.4,20.23,14.67,13.64,2.27,0,0,2.27,2.27,0,0,0,0,0,0,0,0,2.27,0,0,0,0,2.27
1322316966074425347,1322232403209949184,@piersmorgan Yeh because they look really worried about this virus. https://t.co/Ty2JxIZQHb,2020-10-30T23:18:26.000Z,1,15,77.41,1,1,7.5,26.67,0,0,0,0,13.33,0,13.33,13.33,0,13.33,6.67,0,0,0,6.67,6.67,0,0,0
1322316942758322182,1322232403209949184,"@piersmorgan Can't blame you Piers, at your age I would probably be scared too.. though to wan't lockdowns just for your sake seems a bit selfish, why won't you wait it out isolated for vaccine, not everyone especially younger people who have almost 0 chance to die from covid.",2020-10-30T23:18:21.000Z,1,49,83.6,37.24,1,24.5,18.37,0,0,0,0,6.12,0,6.12,2.04,0,2.04,2.04,0,0,0,4.08,4.08,0,0,2.04
1322316359469060096,1322232403209949184,@piersmorgan Nice to see you agree its the public who are causing this.... and not the government who like many governments across the world are trying to suppress it. Got no chance with the idiots about,2020-10-30T23:16:02.000Z,1,36,40.06,1.17,64,12,13.89,5.56,0,2.78,2.78,5.56,2.78,0,0,0,0,0,0,0,2.78,0,0,0,0,0
1322316244536692736,1322232403209949184,@trencherman333 @KarenWitts2 @aname_1011 @piersmorgan So 1/200 people die... which is around 300 000 people in the uk. Sounds great,2020-10-30T23:15:34.000Z,1,21,67.92,24.32,88.66,7,14.29,0,0,0,0,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,4.76
1322314781689262081,1322232403209949184,"@piersmorgan Covidiots just tend to use more common sense than drama queens. Sweden a great example of backbone and common sense. Covid will be with us for years, its a fantasy to think the vaccine will solve all problems. Shield if you need to,others mask, hands and common sense. Get living",2020-10-30T23:09:46.000Z,1,52,62.84,44.14,49.66,10.4,13.46,5.77,1.92,1.92,1.92,1.92,1.92,0,0,0,0,0,0,0,0,3.85,3.85,0,0,0
1322314746570428419,1322232403209949184,"@piersmorgan It's exactly where you should be, all your so called influence...you're a British version of Trump",2020-10-30T23:09:37.000Z,1,18,99,1.17,1,18,27.78,5.56,0,0,5.56,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0
1322314162563895302,1322232403209949184,"@piersmorgan @piersmorgan how do you feel about the idea of mandatory exercise? Nutrition, vitamins and healthy lifestyle as a combatant to a virus? Genuinely interested to know???",2020-10-30T23:07:18.000Z,1,27,80.61,27.44,20.23,9,40.74,0,0,0,0,7.41,3.7,3.7,0,0,0,0,0,0,0,14.81,3.7,11.11,0,0
1322313584270024704,1322232403209949184,@piersmorgan Had a nice chat with a Swede who was a Covidiot and asked Why are you wearing a mask? Bottom line - Hard to reason with stupid,2020-10-30T23:05:00.000Z,1,27,92.24,10.18,20.23,13.5,11.11,3.7,3.7,0,0,7.41,3.7,3.7,0,0,0,0,0,0,0,0,0,0,0,0
1322313474421235713,1322232403209949184,@stevedixy87 @piersmorgan Steve ya cunt,2020-10-30T23:04:34.000Z,1,5,99,1,20.23,5,40,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0
1322313410290290688,1322232403209949184,@stevedixy87 @piersmorgan,2020-10-30T23:04:19.000Z,1,2,40.06,1,20.23,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322313328560136194,1322232403209949184,@piersmorgan When you going then ?,2020-10-30T23:03:59.000Z,1,5,99,99,20.23,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322312640199315458,1322232403209949184,@Muzza103Crypto @piersmorgan Try showing your little chart to the 5.4% and all those that loved them.,2020-10-30T23:01:15.000Z,1,16,99,1,96.74,16,18.75,6.25,0,6.25,0,6.25,6.25,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0
1322312608620384263,1322232403209949184,@idonotconsent20 @and_laurence @KarenWitts2 @aname_1011 @piersmorgan https://t.co/AdcHDczrB7,2020-10-30T23:01:07.000Z,1,12,40.06,1,1,12,41.67,0,0,0,0,8.33,0,8.33,8.33,0,8.33,0,0,0,0,0,0,0,0,0
1322312537027846148,1322232403209949184,@piersmorgan I have friends in Sweden,2020-10-30T23:00:50.000Z,1,6,40.06,99,20.23,6,33.33,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322311967189700608,1322232403209949184,@Carl_T_ @piersmorgan Anyone whos buying this shit can fuck off,2020-10-30T22:58:35.000Z,1,11,40.06,1,20.23,11,9.09,0,0,0,0,18.18,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0
1322311847731671040,1322232403209949184,@paulrinaldi147 @piersmorgan I think your barking mad to be honest Paul but you believe what you want but you shouldn't try make other believe it could cost someone there life. I really hope no1 you know dies from it buddie cause you could really regret everything you've said in the last 9months,2020-10-30T22:58:06.000Z,1,52,99,6.15,4.87,26,17.31,1.92,0,1.92,0,5.77,1.92,3.85,5.77,1.92,3.85,0,1.92,1.92,0,0,0,0,0,1.92
1322311443618869249,1322232403209949184,@piersmorgan I think @BorisJohnson has already gone #invisibleidiot,2020-10-30T22:56:30.000Z,1,8,1.71,99,20.23,8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322311218372202497,1322232403209949184,@piersmorgan Mate you fucking love the drama. The type to get buzzing on Facebook groups about a motorway being closed over snow.,2020-10-30T22:55:36.000Z,1,22,99,5.07,86.79,11,22.73,4.55,4.55,0,0,9.09,4.55,0,4.55,4.55,0,0,0,0,4.55,0,0,0,0,0
1322311123652280326,1322232403209949184,"@BRutter54 @Ricospur11 @jadil520 @purts149 @piersmorgan No you're right it's 46,299",2020-10-30T22:55:13.000Z,1,10,89.5,1,20.23,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322310958342090753,1322232403209949184,@piersmorgan They probably wont accept you,2020-10-30T22:54:34.000Z,1,6,99,1,99,6,33.33,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0
1322310589524434945,1322232403209949184,"@piersmorgan Can you go too, so we dont have to listen to youre over ego , me me me personality, were all trying to cope with covid, we dont need to add you to the list. Stop and go away.. give us some piece and quiet for once...",2020-10-30T22:53:06.000Z,1,47,97.64,57.41,20.23,15.67,4.26,8.51,6.38,2.13,0,0,0,0,0,0,0,0,0,0,0,4.26,2.13,0,2.13,0
1322310203103215616,1322232403209949184,@piersmorgan You are COVID paranoid! Get one and stop crying,2020-10-30T22:51:34.000Z,1,10,99,7.03,1,5,20,0,0,0,0,20,0,20,20,0,20,10,0,10,0,20,10,0,10,0
1322310068076007425,1322232403209949184,"@DarrenJ94748565 @Ricospur11 @jadil520 @purts149 @piersmorgan Quick question: how many people has Covid killed in the UK. Not people who have 'had it', specifically those that have died through Covid alone? I'll wait. (Clue, it's not 43,000)",2020-10-30T22:51:02.000Z,1,36,13.82,89.39,2.17,9,22.22,2.78,0,0,2.78,2.78,0,2.78,0,0,0,0,0,0,0,5.56,5.56,0,0,5.56
1322309774734729216,1322232403209949184,"@piersmorgan In a heartbeat Piers, in a heartbeat #CommonSense",2020-10-30T22:49:52.000Z,1,9,40.06,77.17,20.23,9,44.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322309280612208641,1322232403209949184,"@markwinter1961 @AaronHeadley1 @purts149 @piersmorgan 1,600 people die every day normally. Whats your point about over a thousand people dying daily?",2020-10-30T22:47:54.000Z,1,20,99,7.03,20.23,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1322309204846223360,1322232403209949184,@paulrinaldi147 @piersmorgan Strongy disagree sorry Paul you seem to be easily led people are genuinely dying in front of our eyes but anyway PLEASE ask your God to stop it all of he was real he could easily do that surely? Saying that he let his son die on cross apparently some fella that god bloke,2020-10-30T22:47:36.000Z,1,56,99,1,5.5,28,10.71,3.57,1.79,0,1.79,1.79,0,1.79,0,0,0,0,0,0,0,0,0,0,0,3.57
